,index,COUNTRY,ISO3,0,1,2,3,4,5,6,7,8,9,10,11
0,0,Afghanistan,AFG,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,
1,1,Albania,ALB,AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,,,,,,,
2,2,Algeria,DZA,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac,,,,,,,,
3,3,American Samoa,ASM,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,,,,,,,,,
4,4,Andorra,AND,AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,,,,,,,,,
5,5,Angola,AGO,SII - Covishield,,,,,,,,,,,
6,6,Anguilla,AIA,AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,,,,,,,,,,
7,7,Antigua and Barbuda,ATG,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,
8,8,Argentina,ARG,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,
9,9,Armenia,ARM,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated,,,,
10,10,Aruba,ABW,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,,,,,,,,,,
11,11,Australia,AUS,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,,,,,,,
12,12,Austria,AUT,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna â€“ Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5,Unknown Vaccine,Valneva - VLA2001,,
13,13,Azerbaijan,AZE,AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,,,,,,
14,14,Bahamas,BHS,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,,,
15,15,Bahrain,BHR,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,
16,16,Bangladesh,BGD,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,,,,
17,17,Barbados,BRB,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,,
18,18,Belarus,BLR,Beijing CNBG - BBIBP-CorV,Chumakov - Covi-Vac,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,,,,,,,,
19,19,Belgium,BEL,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,,,,,,,,
20,20,Belize,BLZ,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,,
21,21,Benin,BEN,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,,,,,,,
22,22,Bermuda,BMU,AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,,,,,,,,,
23,23,Bhutan,BTN,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,,
24,24,Bolivia (Plurinational State of),BOL,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,
25,25,Bonaire,XAA,Moderna, Pfizer/BioNTech,,,,,,,,,,
26,26,"Bonaire, Sint Eustatius and Saba",BES,Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty,,,,,,,,,,
27,27,Bosnia and Herzegovina,BIH,AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V,,,,,,,,
28,28,Botswana,BWA,Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,,,,,,
29,29,Brazil,BRA,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,,,,,,,
30,30,British Virgin Islands,VGB,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,,,,,,,,,,
31,31,Brunei Darussalam,BRN,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,,,,,,,
32,32,Bulgaria,BGR,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,,,,,,,,
33,33,Burkina Faso,BFA,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield,,,,,,,,,
34,34,Burundi,BDI,Beijing CNBG - BBIBP-CorV,,,,,,,,,,,
35,35,Cabo Verde,CPV,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,,,
36,36,Cambodia,KHM,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,,,,,
37,37,Cameroon,CMR,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,,,
38,38,Canada,CAN,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,,
39,39,Cayman Islands,CYM,Pfizer BioNTech - Comirnaty,,,,,,,,,,,
40,40,Central African Republic,CAF,Bharat - Covaxin,SII - Covishield,,,,,,,,,,
41,41,Chad,TCD,Beijing CNBG - BBIBP-CorV,,,,,,,,,,,
42,42,Chile,CHL,AstraZeneca - Vaxzevria,CanSino - Convidecia,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,,,,,,
43,43,China,CHN,Anhui ZL - Zifivax,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated,,,,
44,44,Colombia,COL,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,,,,,,
45,45,Comoros,COM,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield,,,,,,,,,
46,46,Congo,COG,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield,,,,,,,,
47,47,Cook Islands,COK,Pfizer BioNTech - Comirnaty,,,,,,,,,,,
48,48,Costa Rica,CRI,AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,,,,,,,,,
49,49,CÃ´te dâ€™Ivoire,CIV,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,,
50,50,Croatia,HRV,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine,,,,,,
51,51,Cuba,CUB,CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02,,,,,,,,,
52,52,CuraÃ§ao,CUW,AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,,,,,,,,,
53,53,Cyprus,CYP,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,,,,,,,
54,54,Czechia,CZE,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5,,,,,
55,55,Democratic Republic of the Congo,COD,SII - Covishield,,,,,,,,,,,
56,56,Denmark,DNK,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine,,,,,,,
57,57,Djibouti,DJI,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,
58,58,Dominica,DMA,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,,
59,59,Dominican Republic,DOM,AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac,,,,,,,,,
60,60,Ecuador,ECU,AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,,,,,,,
61,61,Egypt,EGY,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,
62,62,El Salvador,SLV,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,,,,,,
63,63,Equatorial Guinea,GNQ,Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac,,,,,,,,,,
64,64,Eritrea,ERI,,,,,,,,,,,,
65,65,Estonia,EST,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna â€“ Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5,,,,
66,66,Eswatini,SWZ,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,,,,
67,67,Ethiopia,ETH,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,SII - Covishield,,,,,,,,
68,68,Falkland Islands (Malvinas),FLK,AstraZeneca - AZD1222,,,,,,,,,,,
69,69,Faroe Islands,FRO,Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty,,,,,,,,,,
70,70,Fiji,FJI,AstraZeneca - Vaxzevria,Moderna - Spikevax,SII - Covishield,,,,,,,,,
71,71,Finland,FIN,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine,,,,,,,
72,72,France,FRA,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine,,,,,,
73,73,French Guiana,GUF,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,,,,,,,,,,
74,74,French Polynesia,PYF,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,,,,,,,,,,
75,75,Gabon,GAB,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,,,,,,,,,
76,76,Gambia,GMB,Beijing CNBG - BBIBP-CorV,SII - Covishield,,,,,,,,,,
77,77,Georgia,GEO,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,,,,,,,
78,78,Germany,DEU,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna â€“ Spikevax Bivalent Original/Omicron  - Generic,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron - Generic,Unknown Vaccine,Valneva - VLA2001,,,
79,79,Ghana,GHA,Gamaleya - Gam-Covid-Vac,SII - Covishield,,,,,,,,,,
80,80,Gibraltar,GIB,AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,,,,,,
81,81,Greece,GRC,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5,,,,,
82,82,Greenland,GRL,Moderna - mRNA-1273,,,,,,,,,,,
83,83,Grenada,GRD,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,,
84,84,Guadeloupe,GLP,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,,,,,,,
85,85,Guam,GUM,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,,,,,,,,,
86,86,Guatemala,GTM,AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,,
87,87,Guernsey,GGY,Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,,,,,
88,88,Guinea,GIN,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,,,,,,
89,89,Guinea-Bissau,GNB,Beijing CNBG - BBIBP-CorV,SII - Covishield,,,,,,,,,,
90,90,Guyana,GUY,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,
91,91,Haiti,HTI,Janssen - Ad26.COV 2-S,Moderna - Spikevax,,,,,,,,,,
92,92,Honduras,HND,AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,
93,93,Hungary,HUN,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Sinovac - CoronaVac,,,,
94,94,Iceland,ISL,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,,,,,,,
95,95,India,IND,Bharat - Covaxin,Biological E - Corbevax,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,SII - Covishield,SII - Covovax,Zydus - ZyCov-D,,,,
96,96,Indonesia,IDN,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,,,,
97,97,Iran (Islamic Republic of),IRN,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Shifa - COVIran Barakat,Sinovac - CoronaVac
98,98,Iraq,IRQ,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,
99,99,Ireland,IRL,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,,,,,,,
100,100,Isle of Man,IMN,Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,,,,,
101,101,Israel,ISR,AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,,,,,,,,,
102,102,Italy,ITA,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna â€“ Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5,,,,
103,103,Jamaica,JAM,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,,
104,104,Japan,JPN,AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,,,,,,,,
105,105,Jersey,JEY,Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,,,,,
106,106,Jordan,JOR,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,
107,107,Kazakhstan,KAZ,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,RIBSP - QazVac,Sinovac - CoronaVac,,,,,,,
108,108,Kenya,KEN,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,,
109,109,Kiribati,KIR,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,,,,,,,,,,
110,110,Kosovo,XKX,AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,,,,,,,,,,
111,111,Kuwait,KWT,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,
112,112,Kyrgyzstan,KGZ,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,RIBSP - QazVac,,,,,,
113,113,Lao People's Democratic Republic,LAO,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,,,,
114,114,Latvia,LVA,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,,,,,,,
